exp,epoch,train_loss,val_loss,val_score,threshold
exp_08-04-2021-12-40_f0,0,29.337288564224377,inf,0.6320962309837341,
exp_08-04-2021-12-40_f0,1,29.0485359031557,inf,0.5522711873054504,
exp_08-04-2021-12-40_f0,2,26.495560163374332,inf,0.7427209615707397,
exp_08-04-2021-12-40_f0,3,20.81518681955421,inf,0.7583600878715515,
exp_08-04-2021-12-40_f0,4,16.28718989951807,inf,0.7646262049674988,
exp_08-04-2021-12-40_f0,5,13.825319659271507,inf,0.7675480246543884,
exp_08-04-2021-12-40_f0,6,11.77603625249111,inf,0.7681676149368286,
exp_08-04-2021-12-40_f0,7,9.706505250179204,inf,0.7738366723060608,
exp_08-04-2021-12-40_f0,8,8.15286201854512,inf,0.774236261844635,
exp_08-04-2021-12-40_f0,9,6.940647540284539,inf,0.7756295204162598,
exp_08-04-2021-12-40_f0,10,5.998630510320179,inf,0.7704102993011475,
exp_08-04-2021-12-40_f0,11,5.177956580698177,inf,0.7728363871574402,
exp_08-04-2021-12-40_f0,12,4.497037187349149,inf,0.7739636301994324,
exp_08-04-2021-12-40_f0,13,3.93146001478419,inf,0.7741718888282776,
exp_08-04-2021-12-40_f0,14,3.461046403009712,inf,0.7741370797157288,
exp_08-04-2021-12-40_f0,15,3.0613933826703743,inf,0.7739627361297607,
exp_08-04-2021-12-40_f0,16,2.7204185440327366,inf,0.7728161215782166,
exp_08-04-2021-12-40_f0,17,2.47384651613319,inf,0.7732071280479431,
exp_08-04-2021-12-40_f0,18,2.304363004171702,inf,0.7740384340286255,
exp_08-04-2021-12-40_f0,19,2.1645914909092223,inf,0.7730015516281128,
