exp,epoch,train_loss,val_loss,val_score,threshold
exp_11-04-2021-09-41_f0,0,30.145256640405872,inf,0.6383835077285767,
exp_11-04-2021-09-41_f0,1,29.801387830289983,inf,0.5846648812294006,
exp_11-04-2021-09-41_f0,2,28.31655789256722,inf,0.6303362250328064,
exp_11-04-2021-09-41_f0,3,25.018500713876165,inf,0.7226746082305908,
exp_11-04-2021-09-41_f0,4,20.859871602100164,inf,0.7330067157745361,
exp_11-04-2021-09-41_f0,5,17.200997669934807,inf,0.7387800812721252,
exp_11-04-2021-09-41_f0,6,14.699013775159097,inf,0.7411687970161438,
exp_11-04-2021-09-41_f0,7,13.146909172605925,inf,0.7428879737854004,
exp_11-04-2021-09-41_f0,8,12.131875106624463,inf,0.7405104637145996,
exp_11-04-2021-09-41_f0,9,11.364248337553596,inf,0.7403333187103271,
exp_11-04-2021-09-41_f0,10,10.76740215121134,inf,0.7419931888580322,
exp_11-04-2021-09-41_f0,11,8.588195686373735,inf,0.7429307699203491,
exp_11-04-2021-09-41_f0,12,7.350128785950081,inf,0.7423568367958069,
exp_11-04-2021-09-41_f0,13,6.60336585512512,inf,0.7437504529953003,
exp_11-04-2021-09-41_f0,14,6.020874679401752,inf,0.7448135018348694,
exp_11-04-2021-09-41_f0,15,5.563902836547424,inf,0.7438592910766602,
exp_11-04-2021-09-41_f0,16,5.1688170771256425,inf,0.7433606386184692,
exp_11-04-2021-09-41_f0,17,4.872515731016517,inf,0.7431806921958923,
exp_11-04-2021-09-41_f0,18,4.651763804113385,inf,0.7444410920143127,
exp_11-04-2021-09-41_f0,19,4.505240665843315,inf,0.7430288791656494,
