exp,epoch,train_loss,val_loss,val_score,threshold
exp_06-04-2021-11-34_f0,0,29.299433871773328,inf,0.6614226698875427,
exp_06-04-2021-11-34_f0,1,28.95399532073298,inf,0.6432921886444092,
exp_06-04-2021-11-34_f0,2,25.68682927206211,inf,0.7435949444770813,
exp_06-04-2021-11-34_f0,3,20.992225350966393,inf,0.7403571009635925,
exp_06-04-2021-11-34_f0,4,18.16298777136252,inf,0.7425462007522583,
exp_06-04-2021-11-34_f0,5,16.119940890175318,inf,0.7408886551856995,
exp_06-04-2021-11-34_f0,6,13.792486236420924,inf,0.7428011298179626,
exp_06-04-2021-11-34_f0,7,11.4677830621548,inf,0.7513202428817749,
exp_06-04-2021-11-34_f0,8,9.707158695719484,inf,0.7509058713912964,
exp_06-04-2021-11-34_f0,9,8.274686075008042,inf,0.753356397151947,
exp_06-04-2021-11-34_f0,10,7.095918345479175,inf,0.7595552206039429,
exp_06-04-2021-11-34_f0,11,6.091132081932059,inf,0.7586733102798462,
exp_06-04-2021-11-34_f0,12,5.201544505712449,inf,0.7604573965072632,
exp_06-04-2021-11-34_f0,13,4.389914179070828,inf,0.759665310382843,
exp_06-04-2021-11-34_f0,14,3.696619280995399,inf,0.7619209885597229,
exp_06-04-2021-11-34_f0,15,3.0891719783896465,inf,0.7628358602523804,
exp_06-04-2021-11-34_f0,16,2.607279720217372,inf,0.7612020969390869,
exp_06-04-2021-11-34_f0,17,2.255355864450283,inf,0.7611914873123169,
exp_06-04-2021-11-34_f0,18,1.9999473582488096,inf,0.7619222402572632,
exp_06-04-2021-11-34_f0,19,1.834068270067629,inf,0.7599776387214661,
