exp,epoch,train_loss,val_loss,val_score,threshold
exp_18-04-2021-08-13_f0,0,25.322118266307523,inf,0.5974901914596558,
exp_18-04-2021-08-13_f0,1,25.229722806276197,inf,0.5926498770713806,
exp_18-04-2021-08-13_f0,2,24.203677279061644,inf,0.08285973966121674,
exp_18-04-2021-08-13_f0,3,23.13988586203025,inf,0.6503543853759766,
exp_18-04-2021-08-13_f0,4,20.455484792611895,inf,0.7181759476661682,
exp_18-04-2021-08-13_f0,5,17.305053122583097,inf,0.7339917421340942,
exp_18-04-2021-08-13_f0,6,14.353403574115168,inf,0.7384370565414429,
exp_18-04-2021-08-13_f0,7,11.972147285990472,inf,0.745191752910614,
exp_18-04-2021-08-13_f0,8,10.244778768998863,inf,0.7437167763710022,
exp_18-04-2021-08-13_f0,9,9.072668372244731,inf,0.7458585500717163,
exp_18-04-2021-08-13_f0,10,8.246113603341318,inf,0.7440487742424011,
exp_18-04-2021-08-13_f0,11,6.592766573342094,inf,0.7431259751319885,
exp_18-04-2021-08-13_f0,12,5.701179807795225,inf,0.747578501701355,
exp_18-04-2021-08-13_f0,13,5.113637974471072,inf,0.7471470236778259,
exp_18-04-2021-08-13_f0,14,4.648971841457116,inf,0.7460638284683228,
exp_18-04-2021-08-13_f0,15,4.306780381011267,inf,0.7475740313529968,
exp_18-04-2021-08-13_f0,16,4.025369050694208,inf,0.7465866804122925,
exp_18-04-2021-08-13_f0,17,3.8263309304731608,inf,0.7470924854278564,
exp_18-04-2021-08-13_f0,18,3.627659686899533,inf,0.7469919919967651,
exp_18-04-2021-08-13_f0,19,3.5412752099802893,inf,0.7472100853919983,
